(Intercept),n_farm_inputs,p_dev_inputs,Precip8110Ws,Tmean8110Ws,BFIWs,MAXDEPTH,lakemorpho_fetch,UNIQUE_ID,fitted,de,.xcoord,.ycoord
4.53560843,0.0183209,1.38E-04,-0.083575331,0.122182284,-0.240641238,-0.253136813,0.508951637,NLA_SD-10005,4.607847678,-0.20189767,-371952.7761,2415635.575
4.53560843,1.05E-04,0,-0.135359522,0.116146399,-0.38314399,-0.197763136,0.012528023,NLA_NM-10009,3.948121322,-0.082995306,-884660.916,1482120.436
4.53560843,0.100804801,0.001355543,-0.263974129,0.289832808,-0.108842259,-0.010876972,0.009358757,NLA_KY-10041,4.553266978,0.354702,662477.7178,1562990.455
4.53560843,0.11413572,0.003001356,-0.238866927,0.249406578,-0.103876104,-0.076138807,0.01386419,NLA_KY-10043,4.497134437,-0.001269014,939860.4254,1739796.599
4.53560843,0.005197869,0.001419046,-0.281300161,0.299658466,-0.188360475,-0.010876972,0.004669613,NLA_TN-10035,4.366015816,-0.081313155,647135.8676,1411047.85
4.53560843,0.0758224,7.37E-04,-0.301257416,0.288446187,-0.159068277,-0.032630917,0.006644721,NLA_TN-10017,4.414302205,0.20462271,864954.2675,1412168.144
4.53560843,0.004245214,0.039210667,-0.272304157,0.322129709,-0.147329712,-0.059328941,0.004193517,NLA_TN-10034,4.426424728,-0.138265483,547100.1146,1368121.741
4.53560843,0.094367903,0,-0.280244393,0.283424647,-0.182148772,-0.034608549,0.019200324,NLA_TN-10029,4.43559959,0.330192322,803401.768,1440211.382
4.53560843,6.93E-04,3.19E-04,-0.253852205,0.284730162,-0.143546795,-0.049440784,0.008308471,NLA_KY-10009,4.382819012,0.015337374,733324.0555,1590488.879
4.53560843,0.020921433,0.004299575,-0.280035643,0.305446759,-0.303405443,-0.0504296,0.011470761,NLA_SC-10012,4.243876272,-0.048965495,1262233.413,1432333.721
4.53560843,9.60E-04,0.014207932,-0.402688198,0.238524241,-0.349950209,-0.08009407,0.00995159,NLA_NC-10031,3.966519709,-0.057616691,1196151.326,1427130.672
4.53560843,0.012184215,0.005278212,-0.257972863,0.267293087,-0.306642014,-0.100859199,0.066322551,NLA_NC-10020,4.221212419,0.260620522,1306983.878,1513476.796
4.53560843,1.30E-04,8.64E-04,-0.262069976,0.240574952,-0.300943145,-0.110747356,0.0209754,NLA_NC-10030,4.124391964,-0.029547186,1243251.398,1499332.61
4.53560843,0.014918786,3.29E-04,-0.124995999,0.108479504,-0.166981229,-0.047463153,0.051288756,NLA_SD-10112,4.371183858,0.398029793,-112217.7448,2524262.33
4.53560843,0,0,-0.113015574,0.123552785,-0.323438829,-0.088004595,0.012535741,NLA_NM-10039,4.147237957,-0.016187843,-805409.9172,1577810.578
4.53560843,0.169220904,7.83E-04,-0.188355315,0.24002578,-0.106393473,-0.009888157,0.022064006,NLA_KS-10013,4.663065469,-0.34138063,46197.42498,1846585.121
4.53560843,0.08503042,0.00149475,-0.25463701,0.265369241,-0.155122399,-0.15326643,0.035505177,NLA_KY-10035,4.359982179,0.078215221,862371.8619,1633121.099
4.53560843,0,0,-0.137524773,0.076357184,-0.328741105,-0.014832235,0.003894071,NLA_NM-10055,4.134761572,-0.042904514,-815214.4512,1577378.367
4.53560843,0.057903534,0.002267516,-0.283961748,0.317263626,-0.129695768,-0.046474337,0.092334736,NLA_MS-10004,4.545245989,-0.264739686,537972.877,1312505.12
4.53560843,0.184638958,0.001127219,-0.176094193,0.147544153,-0.259288733,-0.024720392,0.029992714,NLA_IA-10024,4.438808156,0.631587104,201729.3291,2268881.162
4.53560843,0,0,-0.127057843,0.109229713,-0.169672829,0,0.001692364,NLA_SD-10104,4.349799835,0.44263741,-96191.79148,2520396.136
4.53560843,0.138908799,7.13E-04,-0.198227503,0.248514906,-0.106045518,-0.02966447,0.002619218,NLA_KS-10045,4.592426653,-0.248740253,81683.95253,1814419.459
4.53560843,0.021584388,5.28E-04,-0.124722993,0.108683602,-0.169672829,-0.044496705,0.015885167,NLA_SD-10156,4.343397267,0.390534111,-114406.5767,2525635.165
4.53560843,0.037035592,0.036397295,-0.225051883,0.264151271,-0.273752847,-0.007910525,0.005427454,NLA_VA-10035,4.371904786,-0.31599201,1403658.978,1709259.665
4.53560843,0.003846,0,-0.06579364,0.120687177,-0.356636633,-0.059328941,0.021071676,NLA_MT-10042,4.199454069,-0.047619501,-1223933.091,2870407.628
4.53560843,0.28072344,0.013462951,-0.238560826,0.259760209,-0.100743242,-0.045485521,0.0024042,NLA_KY-10038,4.707169641,-0.002425694,917131.9327,1737678.755
4.53560843,0.09063188,0.008894726,-0.192388606,0.24730875,-0.105715965,-0.049440784,0.02080744,NLA_KS-10036,4.55570587,-0.314536124,18906.52989,1774949.249
4.53560843,0.015334043,0.00121311,-0.244398258,0.262457296,-0.263230561,-0.044496705,0.001711503,NLA_VA-10042,4.264198858,-0.126696094,1411291.634,1663486.904
4.53560843,5.19E-04,1.21E-05,-0.355496343,0.254967282,-0.349950209,-0.273901943,0.032325073,NLA_SC-10006,3.844083803,-0.063798156,1199404.531,1417852.015
4.53560843,0.106703253,6.26E-04,-0.1213773,0.122381297,-0.142992761,-0.056362494,0.036789839,NLA_SD-10007,4.481376509,0.414808117,-128140.017,2467688.995
4.53560843,0,0.003227322,-0.122984207,0.114633823,-0.164370553,-0.011865788,0.00711076,NLA_SD-10096,4.361359787,0.413977108,-118596.9248,2539662.94
4.53560843,0,0,-0.215840132,0.075223553,-0.429484347,-0.013843419,0.005005463,NLA_UT-10059,3.956669548,-0.067096766,-1303667.83,2051371.681
4.53560843,0.014804603,0.02056972,-0.091334197,0.225995662,-0.371159312,-0.009888157,0.016322635,NLA_UT-10075,4.340919384,-0.099686785,-1361224.905,2075755.208
4.53560843,0.043876016,0.002797325,-0.246980363,0.165695915,-0.213370928,-0.026698023,0.006200243,NLA_PA-10017,4.267128614,-0.225879498,1423346.681,2032357.275
4.53560843,0.077630957,8.18E-04,-0.21996929,0.264710104,-0.068929587,-0.059328941,0.013316575,NLA_KS-10006,4.543855797,-0.159798887,96249.90239,1677083.188
4.53560843,0.125066232,0.001031139,-0.223280724,0.241640868,-0.037115931,-0.079105254,0.012219923,NLA_MO-10045,4.576064682,0.17874522,353303.1486,1799785.102
4.53560843,0.247300496,6.40E-04,-0.17344656,0.156461318,-0.238694059,-0.014832235,0.012890969,NLA_IA-10067,4.525928731,0.484390104,187585.7972,2206920.955
4.53560843,0,0.038897848,-0.224964233,0.291324549,-0.201407258,-0.023731576,0.002800417,NLA_NC-10038,4.418528177,0.350461442,1434597.257,1575508.83
4.53560843,0.097845411,0.001918092,-0.168023302,0.140815145,-0.30497378,-0.03658618,0.015588036,NLA_MN-10105,4.282191852,0.114185273,249848.5081,2470157.924
4.53560843,0.221563431,0.002089816,-0.153387731,0.137450489,-0.278655578,-0.009888157,0.015180251,NLA_MN-10020,4.469960951,0.599009516,154837.6447,2441251.072
4.53560843,0.005023977,0.081846663,-0.167738334,0.151481571,-0.290009398,-0.079105254,0.013887812,NLA_MN-10077,4.250995468,0.193626177,225727.6741,2457556.516
4.53560843,0.079507197,6.26E-04,-0.089103888,0.101634218,-0.124271361,-0.059328941,0.018296938,NLA_ND-10031,4.462968891,0.46807094,-365209.8942,2744941.281
4.53560843,0.087350275,1.09E-04,-0.102372614,0.103583347,-0.151333746,-0.039552627,0.014754311,NLA_ND-10058,4.448146206,0.332152007,-262115.1208,2602356.551
4.53560843,0.028054833,0.003905548,-0.046261824,0.225228995,-0.275718346,-0.013843419,0.005534335,NLA_NM-10072,4.462508551,-0.372323282,-1072629.59,1587148.401
4.53560843,0.063140911,0.003376289,-0.11573025,0.193075083,-0.357895945,-0.061306572,0.217062368,NLA_UT-10043,4.477330314,-0.062973445,-1329102.887,2153795.789
4.53560843,0.032147676,7.50E-04,-0.024893413,0.228291023,-0.27041607,-0.00692171,0.011159848,NLA_NV-10013,4.50572565,-0.461830356,-1918342.17,2059643.278
4.53560843,0,1.97E-06,-0.056475912,0.122753685,-0.351709352,-0.004944078,0.051341398,NLA_NV-10043,4.296576141,-0.34013383,-1889917.884,2334597.1
4.53560843,0.037602987,0.016865898,-0.208144479,0.251217648,-0.112795573,-0.148322352,0.045667007,NLA_KS-10060,4.417699566,-0.254481712,103769.5221,1793106.573
4.53560843,0,1.40E-04,-0.056322067,0.211965502,-0.281020622,-0.162165771,0.027539561,NLA_NM-10056,4.27574466,-0.376498803,-1067076.52,1596271.947
4.53560843,0,0,-0.117465893,0.138689102,-0.190432702,-0.074161176,0.013901695,NLA_NM-10060,4.306139456,-0.065151236,-1152033.147,1515093.26
4.53560843,0,0.005765939,-0.237909523,0.321232368,-0.317165344,-0.054384862,0.015539352,NLA_NC-10014,4.26868636,0.162989289,1511126.67,1466743.893
4.53560843,0.003141384,4.10E-05,-0.092938696,0.209791932,-0.209213111,-0.133490116,0.091398622,NLA_NM-10051,4.404339448,-0.154544618,-674005.8986,1392723.233
4.53560843,0.075076173,1.73E-04,-0.263986021,0.287301283,-0.148463725,-0.019776314,0.004651569,NLA_MO-10016,4.470584478,0.479803154,596107.33,1525943.836
4.53560843,0,0,-0.244722564,0.268764151,-0.068929587,-0.044496705,0.012181238,NLA_IL-10003,4.458404963,0.176631873,671369.6564,1631364.596
4.53560843,0,0.009579189,-0.175469034,0.272188674,-0.164370553,-0.039552627,0.01000834,NLA_KS-10073,4.447992421,-0.055946541,-122067.0223,1622743.395
4.53560843,0.050888789,0.001277296,-0.19763068,0.308655253,-0.083251637,-0.025115918,0.029600661,NLA_OK-10001,4.620032195,-0.095615924,-78059.86418,1438304.837
4.53560843,0.120382985,0.001007419,-0.149057367,0.131378655,-0.286298234,-0.115691434,0.022510675,NLA_MN-10092,4.259841128,0.423289228,114457.3387,2505380.233
4.53560843,0.004597019,2.41E-05,-0.106512313,0.103886178,-0.394186383,-0.311476938,0.09586284,NLA_UT-10053,3.927802946,0.065792147,-1217804.39,1999640.306
4.53560843,0.274369928,0.002702825,-0.171768852,0.16864527,-0.25013095,-0.024720392,0.057755172,NLA_IA-10032,4.592461432,0.373389438,112513.7336,2166845.864
4.53560843,5.43E-04,9.84E-05,-0.101079553,0.177837307,-0.283660164,-0.028675655,0.035557085,NLA_NM-10082,4.336229323,-0.134425979,-827970.9558,1441755.597
4.53560843,0,0,-0.249486763,0.265219962,-0.079534138,-0.059328941,0.011723417,NLA_IL-10034,4.424201968,0.204735193,660587.3334,1634949.075
4.53560843,0.054744803,6.62E-04,-0.308447693,0.367331375,-0.164370553,-0.026698023,0.028775284,NLA_MS-10003,4.487605808,0.20675861,436418.5417,969590.4043
4.53560843,0.001805466,1.60E-04,-0.30318939,0.362146104,-0.174975104,-0.056362494,0.018703292,NLA_MS-10009,4.383896027,0.035527282,508106.6207,994175.687
4.53560843,0.076093201,0.001059677,-0.282801513,0.351579515,-0.141667138,-0.016809867,0.050407771,NLA_MS-10010,4.573470075,0.216605092,523424.5906,1135489.225
4.53560843,0.033770923,8.48E-04,-0.204365354,0.191801186,-0.210866471,-0.27686839,0.080818083,NLA_PA-10014,4.150746817,-0.063934059,1497438.76,2068733.812
4.53560843,0.007042799,5.23E-04,-0.092999569,0.096161117,-0.131018235,-0.02966447,0.015102127,NLA_ND-10079,4.400754714,0.343026538,-381109.4036,2777744.218
4.53560843,0.208913557,0.003936835,-0.172752317,0.163882359,-0.268407853,-0.022742761,0.083225394,NLA_IA-10055,4.531663644,0.279348377,65962.14672,2180928.591
4.53560843,0.002332521,0,-0.101581496,0.096570195,-0.358199215,-0.084049333,0.055008549,NLA_MT-10016,4.145689652,-0.030722657,-1239906.767,2836912.553
4.53560843,0.385050202,0.00158639,-0.135076988,0.147993028,-0.147645472,-0.010876972,0.010719505,NLA_SD-10016,4.787358121,0.825006868,-85136.45882,2287353.57
4.53560843,0.264786714,9.08E-05,-0.14282789,0.187458399,-0.217089419,-0.003955263,0.004831088,NLA_SD-10089,4.628902828,0.680112037,-65903.43637,2192352.942
4.53560843,0.059793389,1.93E-04,-0.099067967,0.051041614,-0.139106626,-0.019776314,0.006722923,NLA_ND-10086,4.395408009,0.268020898,-328776.4671,2886547.334
