(Intercept),p_farm_inputs,n_dev_inputs,fst_ws,Precip8110Ws,Tmean8110Ws,MAXDEPTH,lakemorpho_fetch,BFIWs,AG_ECO3PLNLOW,AG_ECO3EHIGH,UNIQUE_ID,fitted,de,.xcoord,.ycoord
-0.30260997,0.115110778,8.33E-04,-0.015033126,-0.677962543,0.226041901,-0.05605501,0.097081639,-0.188930105,1.126184227,0,NLA_OK-10053,0.600758169,-0.392639097,-277885.0984,1350813.773
-0.30260997,0.001780526,0.003529007,-0.001065611,-0.38199916,0.237892325,-0.459651084,0.027344321,-0.332904914,0,0,NLA_CA-10106,0.469454548,0.60630112,-1934417.848,1336189.443
-0.30260997,0,3.21E-04,-0.587310849,-0.54024956,0.127263055,-0.149480027,0.043959707,-0.43351411,0,0,NLA_AZ-10066,0.516678453,1.422243274,-1449802.22,1482213.595
-0.30260997,0,0.001241266,-0.646178724,-1.183303406,0.193796798,-0.900617165,0.061312404,-0.449447516,0,1.320651303,NLA_KY-10003,0.168410214,-0.173555975,1084951.704,1585046.672
-0.30260997,0.11206569,0.017536418,-0.130626357,-1.070408226,0.188782736,-0.306434056,0.042850147,-0.29572846,0,1.320651303,NLA_KY-10024,0.322340437,-0.79831346,1025371.318,1692623.559
-0.30260997,0,0.031376861,-0.095183877,-1.079016984,0.234454059,-0.074740014,0.0086422,-0.498036437,1.126184227,0,NLA_NC-10029,0.52359258,0.258652661,1557223.376,1508429.145
-0.30260997,0,0.021990948,-0.192209579,-1.103235524,0.287379278,-0.082214015,0.01175939,-0.359286126,1.126184227,0,NLA_GA-10009,0.791418112,1.440061827,1382394.837,993430.5191
-0.30260997,0.107186568,0.003741893,-0.432969144,-1.32583081,0.234857202,-0.470862086,0.161842673,-0.413463534,0,1.320651303,NLA_AL-10029,0.229501102,-0.574949442,795432.2047,1171945.471
-0.30260997,0.00928347,2.82E-04,-0.215492948,-0.854157861,0.239473839,-0.186850034,0.067903945,-0.293686859,1.126184227,0,NLA_OK-10026,0.318338387,-0.831324889,-165655.6735,1274689.949
-0.30260997,0.004312951,6.87E-04,-0.661330139,-0.988489265,0.173042885,-0.276538051,0.046447076,-0.303680754,0,1.320651303,NLA_KY-10004,0.219413943,-0.761749643,1130704.327,1795546.782
